Province_State,Admin2,Lat,Long_,Date,Confirmed,Deaths,Daily_Confirmed,Daily_Deaths
California,San Diego,33.03484597,-116.73653259999999,2020-02-17,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-17,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-17,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-17,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-17,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-18,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-18,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-18,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-18,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-18,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-18,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-18,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-18,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-18,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-19,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-19,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-19,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-19,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-19,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-19,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-19,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-19,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-19,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-20,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-20,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-20,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-20,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-20,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-20,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-20,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-20,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-20,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-21,1,0,0.0,0.0
California,Humboldt,40.69923009,-123.876044,2020-02-21,1,0,1.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-21,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-21,1,0,0.0,0.0
California,Sacramento,38.45106826,-121.34253740000001,2020-02-21,1,0,1.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-21,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-21,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-21,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-21,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-21,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-21,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-22,1,0,0.0,0.0
California,Humboldt,40.69923009,-123.876044,2020-02-22,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-22,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-22,1,0,0.0,0.0
California,Sacramento,38.45106826,-121.34253740000001,2020-02-22,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-22,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-22,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-22,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-22,2,0,0.0,0.0
Massachusetts,Suffolk,42.327951399999996,-71.07850442,2020-02-22,1,0,0.0,0.0
Washington,King,47.49137892,-121.8346131,2020-02-22,1,0,0.0,0.0
Arizona,Maricopa,33.34835867,-112.49181540000001,2020-02-23,1,0,0.0,0.0
California,Humboldt,40.69923009,-123.876044,2020-02-23,1,0,0.0,0.0
California,Los Angeles,34.30828379,-118.22824109999999,2020-02-23,1,0,0.0,0.0
California,Orange,33.70147516,-117.76459979999998,2020-02-23,1,0,0.0,0.0
California,Sacramento,38.45106826,-121.34253740000001,2020-02-23,1,0,0.0,0.0
California,San Benito,36.60308176,-121.069975,2020-02-23,2,0,0.0,0.0
California,San Diego,33.03484597,-116.73653259999999,2020-02-23,2,0,0.0,0.0
California,Santa Clara,37.23104908,-121.6970462,2020-02-23,2,0,0.0,0.0
Illinois,Cook,41.84144849,-87.81658794,2020-02-23,2,0,0.0,0.0
